"x"	"y"	"category"
"1"	"55,3846"	97.1795	"1"
"2"	"51,5385"	96.0256	"1"
"3"	"46,1538"	94.4872	"1"
"4"	"42,8205"	91.4103	"1"
"5"	"40,7692"	88.3333	"1"
"6"	"38,7179"	84.8718	"1"
"7"	"35,641"	79.8718	"1"
"8"	"33,0769"	77.5641	"1"
"9"	"28,9744"	74.4872	"1"
"10"	"26,1538"	71.4103	"1"
"11"	"23,0769"	66.4103	"1"
"12"	"22,3077"	61.7949	"1"
"13"	"22,3077"	57.1795	"1"
"14"	"23,3333"	52.9487	"one"
"15"	"25,8974"	51.0256	"1"
"16"	"29,4872"	51.0256	"1"
"17"	"32,8205"	51.0256	"1"
"18"	"35,3846"	51.4103	"1"
"19"	"40,2564"	51.4103	"1"
"20"	"44,1026"	52.9487	"1"
"21"	"46,6667"	54.1026	"1"
"22"	"50"	55.2564	"1"
"23"	"53,0769"	55.641	"1"
"24"	"56,6667"	56.0256	"1"
"25"	"59,2308"	57.9487	"1"
"26"	"61,2821"	62.1795	"1"
"27"	"61,5385"	66.4103	"1"
"28"	"61,7949"	69.1026	"1"
"29"	"57,4359"	55.2564	"1"
"30"	"54,8718"	49.8718	"1"
"31"	"52,5641"	46.0256	"1"
"32"	"48,2051"	38.3333	"1"
"33"	"49,4872"	42.1795	"1"
"34"	"51,0256"	44.1026	"1"
"35"	"45,3846"	36.4103	"1"
"36"	"42,8205"	32.5641	"1"
"37"	"38,7179"	31.4103	"1"
"38"	"35,1282"	30.2564	"1"
"39"	"32,5641"	32.1795	"1"
"40"	"30"	36.7949	"1"
"41"	"33,5897"	41.4103	"1"
"42"	"36,6667"	45.641	"1"
"43"	"38,2051"	49.1026	"1"
"44"	"29,7436"	36.0256	"1"
"45"	"29,7436"	32.1795	"1"
"46"	"30"	29.1026	"1"
"47"	"32,0513"	26.7949	"1"
"48"	"35,8974"	25.2564	"1"
"49"	"41,0256"	25.2564	"1"
"50"	"44,1026"	25.641	"1"
"51"	"47,1795"	28.718	"1"
"52"	"49,4872"	31.4103	"1"
"53"	"51,5385"	34.8718	"1"
"54"	"53,5897"	37.5641	"1"
"55"	"55,1282"	40.641	"1"
"56"	"56,6667"	42.1795	"1"
"57"	"59,2308"	44.4872	"1"
"58"	"62,3077"	46.0256	"1"
"59"	"64,8718"	46.7949	"1"
"60"	"67,9487"	47.9487	"1"
"61"	"70,5128"	53.718	"1"
"62"	"71,5385"	60.641	"1"
"63"	"71,5385"	64.4872	"1"
"64"	"69,4872"	69.4872	"1"
"65"	"46,9231"	79.8718	"1"
"66"	"48,2051"	84.1026	"1"
"67"	"50"	85.2564	"1"
"68"	"53,0769"	85.2564	"1"
"69"	"55,3846"	86.0256	"1"
"70"	"56,6667"	86.0256	"1"
"71"	"56,1538"	82.9487	"1"
"72"	"53,8462"	80.641	"1"
"73"	"51,2821"	78.718	"1"
"74"	"50"	78.718	"1"
"75"	"47,9487"	77.5641	"1"
"76"	"29,7436"	59.8718	"1"
"77"	"29,7436"	62.1795	"1"
"78"	"31,2821"	62.5641	"1"
"79"	"57,9487"	99.4872	"1"
"80"	"61,7949"	99.1026	"1"
"81"	"64,8718"	97.5641	"1"
"82"	"68,4615"	94.1026	"1"
"83"	"70,7692"	91.0256	"1"
"84"	"72,0513"	86.4103	"1"
"85"	"73,8462"	83.3333	"1"
"86"	"75,1282"	79.1026	"1"
"87"	"76,6667"	75.2564	"1"
"88"	"77,6923"	71.4103	"1"
"89"	"79,7436"	66.7949	"1"
"90"	"81,7949"	60.2564	"1"
"91"	"83,3333"	55.2564	"1"
"92"	"85,1282"	51.4103	"1"
"93"	"86,4103"	47.5641	"1"
"94"	"87,9487"	46.0256	"1"
"95"	"89,4872"	42.5641	"1"
"96"	"93,3333"	39.8718	"1"
"97"	"95,3846"	36.7949	"1"
"98"	"98,2051"	33.718	"1"
"99"	"56,6667"	40.641	"1"
"100"	"59,2308"	38.3333	"1"
"101"	"60,7692"	33.718	"1"
"102"	"63,0769"	29.1026	"1"
"103"	"64,1026"	25.2564	"1"
"104"	"64,359"	24.1026	"1"
"105"	"74,359"	22.9487	"1"
"106"	"71,2821"	22.9487	"1"
"107"	"67,9487"	22.1795	"1"
"108"	"65,8974"	20.2564	"1"
"109"	"63,0769"	19.1026	"1"
"110"	"61,2821"	19.1026	"1"
"111"	"58,7179"	18.3333	"1"
"112"	"55,1282"	18.3333	"1"
"113"	"52,3077"	18.3333	"1"
"114"	"49,7436"	17.5641	"1"
"115"	"47,4359"	16.0256	"1"
"116"	"44,8718"	13.718	"1"
"117"	"48,7179"	14.8718	"1"
"118"	"51,2821"	14.8718	"1"
"119"	"54,1026"	14.8718	"1"
"120"	"56,1538"	14.1026	"1"
"121"	"52,0513"	12.5641	"1"
"122"	"48,7179"	11.0256	"1"
"123"	"47,1795"	9.8718	"One"
"124"	"46,1538"	6.0256	"1"
"125"	"50,5128"	9.4872	"1"
"126"	"53,8462"	10.2564	"1"
"127"	"57,4359"	10.2564	"1"
"128"	"60"	10.641	"1"
"129"	"64,1026"	10.641	"1"
"130"	"66,9231"	10.641	"1"
"131"	"71,2821"	10.641	"1"
"132"	"74,359"	10.641	"1"
"133"	"78,2051"	10.641	"1"
"134"	"67,9487"	8.718	"1"
"135"	"68,4615"	5.2564	"1"
"136"	"68,2051"	2.9487	"1"
"137"	"37,6923"	25.7692	"1"
"138"	"39,4872"	25.3846	"1"
"139"	"91,2821"	41.5385	"1"
"140"	"50"	95.7692	"1"
"141"	"47,9487"	95	"1"
"142"	"44,1026"	92.6923	"1"
"143"	"50,4815081703"	93.2227013657	"4"
"144"	"50,2824056687"	97.6099835723	"4"
"145"	"50,1867033389"	99.6946801425	"4"
"146"	NA	NA	NA
"147"	"50,4562073315"	89.9874101286	"4"
"148"	"30,4648469308"	82.0892320845	"4"
"149"	"30,5015964737"	82.3071263462	"4"
"150"	"30,489569227"	77.7298801366	"4"
"151"	"30,45024833"	79.8348944011	"4"
"152"	"30,5183947985"	68.2525829388	"4"
"153"	"30,5116612138"	66.0937181831	"4"
"154"	"30,4980777147"	62.3849850338	"4"
"155"	"30,6202277519"	60.8600821544	"4"
"156"	"30,4921854231"	55.8789168923	"4"
"157"	"30,474634333"	52.3221596388	"4"
"158"	"30,500998079"	48.0696996767	"4"
"159"	"30,4944213623"	45.7734755346	"4"
"160"	"30,4995445502"	49.3820997506	"4"
"161"	"50,144392979"	47.0142836417	"4"
"162"	"49,9128985877"	55.5878389121	"4"
"163"	"50,3374274859"	57.9553142818	"4"
"164"	"50,4189791992"	60.5249117346	"4"
"165"	"50,2052589714"	57.9242171676	"4"
"166"	"50,4353151633"	56.4393224734	"4"
"167"	"69,5057889042"	59.2849248279	"4"
"168"	"69,5340709833"	64.8929773346	"4"
"169"	"69,5101069302"	61.3296244282	"4"
"170"	"69,5263228876"	56.9952791254	"4"
"171"	"49,9472399619"	48.2295767261	"4"
"172"	"50,0631041291"	58.085037556	"4"
"173"	"50,489902373"	39.2054119682	"4"
"174"	"49,6888638379"	42.018514414	"4"
